file,name,color,name2
Data/ATAC-seq_data/121_ipsc_0_8738-1_na.25bp_track_data.bw,121 ipsc 0 8738-1 na,#EFE90D,ipsc 0  na
Data/ATAC-seq_data/107_whole_25_2242-1_pallial.25bp_track_data.bw,107 whole 25 2242-1 pallial,#F9DAFF,wh 25 pal
Data/ATAC-seq_data/278_whole_46_8738-1_pallial.25bp_track_data.bw,278 whole 46 8738-1 pallial,#F2B9FF,wh 46 pal
Data/ATAC-seq_data/005_neuron_79_8738-1_pallial.25bp_track_data.bw,005 neuron 79 8738-1 pallial,#E181F4,neur 79 pal
Data/ATAC-seq_data/274_neuron_206_8738-1_pallial.25bp_track_data.bw,274 neuron 206 8738-1 pallial,#CB21ED,neur 206 pal
Data/ATAC-seq_data/202_neuron_532_8738-1_pallial.25bp_track_data.bw,202 neuron 532 8738-1 pallial,#9404B4,neur 532 pal
Data/ATAC-seq_data/114_whole_25_8738-1_subpallial.25bp_track_data.bw,114 whole 25 8738-1 subpallial,#D1E8BA,wh 25 subpal
Data/ATAC-seq_data/286_whole_59_2788-1_subpallial.25bp_track_data.bw,286 whole 59 2788-1 subpallial,#B0E57C,wh 59 subpal
Data/ATAC-seq_data/006_neuron_79_8738-1_subpallial.25bp_track_data.bw,006 neuron 79 8738-1 subpallial,#7DCD2C,neur 79 subpal
Data/ATAC-seq_data/214_neuron_394_2242-1_subpallial.25bp_track_data.bw,214 neuron 394 2242-1 subpallial,#4C9006,neur 394 subpal
Data/ATAC-seq_data/037_astrocyte_104_8738-1_pallial.25bp_track_data.bw,037 astrocyte 104 8738-1 pallial,#F6D7B5,astr 104 pal
Data/ATAC-seq_data/276_astrocyte_206_8738-1_pallial.25bp_track_data.bw,276 astrocyte 206 8738-1 pallial,#F2A760,astr 206 pal
Data/ATAC-seq_data/203_astrocyte_532_8738-1_pallial.25bp_track_data.bw,203 astrocyte 532 8738-1 pallial,#DC7511,astr 532 pal